必修・選択,単位数,時間割コード,授業科目名
必修,1.0,J4133,情報学基礎演習Ｂ
必修,1.0,J4137,基盤情報学演習
選択,2.0,J4141,代数学
必修,1.0,J4135,情報学応用演習Ａ
選択,1.0,J4151,情報学特別講義Ａ（前半８週）
選択,1.0,J4152,情報学特別講義Ｂ（後半8週）
選択,2.0,J4142,幾何学
選択,2.0,J4139,信号処理（数理情報）
選択,2.0,J4140,プログラミングＢ
選択,2.0,J4144,情報理論／Information Theory
必修,2.0,J4069,情報数学／Applied Mathematics
必修,1.0,J4134,情報学PBL演習
選択,2.0,J4145,言語処理系論／Language Processor
必修,2.0,J4071,プログラミングA
選択,2.0,J4072,応用数学
選択,2.0,J4149,人工知能／Artificial Intelligence
選択,2.0,J4150,認識と学習／Learning and Recognition
必修,2.0,J4070,数学概論
選択,2.0,J4148,数論アルゴリズム／Algorithms in Number Theory
必修,1,J4065,情報学基礎演習A
必修,1.0,J4136,情報学応用演習Ｂ
選択,2.0,J4073,データベース／Databases
必修,2.0,J4066,表現技術演習
選択,2.0,J4146,最適化理論
必修,2.0,J4067,技術英語／Technical English
選択,2.0,J4147,論理回路
選択,1.0,J4153,情報学特別講義Ｃ（前半８週）
選択,1.0,J4154,情報学特別講義Ｄ（後半8週）
必修,2.0,J4068,データ構造とアルゴリズム／Data Structures and Algorisms
必修,1.0,J4138,情報学ゼミナール
選択,2.0,J4143,解析学
