単位数,時間割コード,授業科目名
2.0,J4016,振動・波動論／Vibration and Wave
2.0,J2055,微分積分Ａ（Eクラス）
2.0,J2056,微分積分Ａ（Fクラス）
2.0,J2078,情報セキュリティ入門（Dクラス）
2.0,J4021,生物物質化学（Aクラス）
2.0,J4022,生物物質化学（Bクラス）
2.0,J4023,生物物質化学（Cクラス）
2.0,J2062,物理学Ａ（Fクラス）
2.0,J4008,基礎化学（Cクラス）
2.0,J2057,微分積分Ａ（Gクラス）
1.0,J4011,（隔週）基礎物理実験（Aクラス）
1.0,J4012,（隔週）基礎物理実験（Bクラス）
2.0,J2049,線形代数Ａ（Eクラス）
2.0,J2076,情報セキュリティ入門（Cクラス）
2.0,J4018,物質変換論（Aクラス）
2.0,J4019,物質変換論（Bクラス）
2.0,J2051,線形代数Ａ（Gクラス）
2.0,J2095,微分積分C（Gクラス）
2.0,J4043,プログラミング演習（Aクラス）
2.0,J4036,確率論（Aクラス）
2.0,J4037,確率論（Bクラス）
2.0,J4038,確率論（Cクラス）
2.0,J2050,線形代数Ａ（Fクラス）
1.0,J4024,理工学概論（前半8週、Aクラス）
1.0,J4025,理工学概論（前半8週、Bクラス）
1.0,J4026,理工学概論（前半8週、Cクラス）
1.0,J4027,理工学概論（後半8週、Dクラス）
1.0,J4028,理工学概論（後半8週、Eクラス）
1.0,J4029,理工学概論（後半8週、Fクラス）
2.0,J2094,微分積分C（Fクラス）
2.0,J4003,基礎生物学（Aクラス）
2.0,J4004,基礎生物学（Bクラス）
2.0,J4005,基礎生物学（Cクラス）
2.0,J4033,現代情報学概論（システム理化学科・Aクラス）
2.0,J4035,現代情報学概論（システム理化学科・Cクラス）
1.0,J4013,基礎物理実験（隔週、Cクラス）
2.0,J4034,現代情報学概論（システム理化学科・Bクラス）
1.0,J2072,フレッシュマンセミナー（Eクラス）
1.0,J2073,フレッシュマンセミナー（Fクラス）
1.0,J2074,フレッシュマンセミナー（Gクラス）
1.0,J2075,フレッシュマンセミナー（Hクラス）
1.0,J4046,情報システム概論（前半8週、Bクラス）
2.0,J4020,物質変換論（Cクラス）
2.0,J2093,微分積分C（Eクラス）
1.0,J4045,情報システム概論（前半8週、Aクラス）
1.0,J2099B,(後半8週）知的財産所有権論（システム理化学科）／Introduction to Intellectual
2.0,J4044,プログラミング演習（Bクラス）
2.0,J2063,物理学Ａ（Gクラス）
2.0,J4006,基礎化学（Aクラス）
2.0,J4007,基礎化学（Bクラス）
2.0,J4014,物質科学／Introduction to Materials Science and Engineering
2.0,J2096,環境科学（Eクラス）
2.0,J2097,環境科学（Fクラス）
2.0,J2098,環境科学（Gクラス）
2.0,J2061,物理学Ａ（Eクラス）
1.0,J4042,理工学情報演習（Dクラス）
2.0,J2058,微分積分Ｂ（Eクラス）
1.0,J4002,化学実験（Bクラス）
2.0,J2052,線形代数Ｂ（Eクラス）
2.0,J4155,理工学技術者倫理（物理物質システムコース）
2.0,J2053,線形代数Ｂ（Fクラス）
2.0,J2060,微分積分Ｂ（Gクラス）
2.0,J4156,理工学技術者倫理（化学生物システムコース）
2.0,J2054,線形代数Ｂ（Gクラス）
1.0,J4040,理工学情報演習（Bクラス）
2.0,J4157,理工学技術者倫理（数理情報システムコース）
2.0,J2059,微分積分Ｂ（Fクラス）
2.0,J4030,統計的データ分析（Aクラス）
1.0,J4001,化学実験（Aクラス）
1.0,J4039,理工学情報演習（Aクラス）
2.0,J4032,統計的データ分析（Cクラス）
1.0,J4009,地球科学入門（前半８週）
1.0,J4010,地球科学入門（後半８週）
2.0,J2070,化学（Cクラス）
2.0,J2071,生物学（Cクラス）
2.0,J2079,データサイエンス入門（Cクラス）
2.0,J2081,データサイエンス入門（Dクラス）
2.0,J4031,統計的データ分析（Bクラス）
1.0,J2064,物理学Ｂ（前半８週・Eクラス）
1.0,J2065,物理学Ｂ（前半８週・Fクラス）
1.0,J2066,物理学Ｂ（前半８週・Gクラス）
1.0,J2067,物理学Ｃ（後半８週・Eクラス）
1.0,J2068,物理学Ｃ（後半８週・Fクラス）
1.0,J2069,物理学Ｃ（後半８週・Gクラス）
1.0,J4041,理工学情報演習（Cクラス）
2.0,J2084,プログラミング入門（Dクラス）
2.0,J2082,プログラミング入門（Cクラス）
